"name","hp","atk","def","spa","spd","spe","weight","height","type1","type2","ability1","ability2","ability3","ability4","Normal_def","Fighting_def","Flying_def","Poison_def","Ground_def","Rock_def","Bug_def","Ghost_def","Steel_def","Fire_def","Water_def","Grass_def","Electric_def","Psychic_def","Ice_def","Dragon_def","Dark_def","Fairy_def"
"Cubone",50,50,95,40,50,35,6.5,0.4,"Ground","None","Battle Armor","Lightning Rod","Rock Head","None",4,4,4,2,4,2,4,4,4,4,8,8,0,4,8,4,4,4
"Cutiefly",40,45,40,55,40,84,0.2,0.1,"Bug","Fairy","Honey Gather","Shield Dust","Sweet Veil","None",4,1,8,8,2,8,2,4,8,8,4,2,4,4,4,0,2,4
"Cyndaquil",39,52,43,60,50,65,7.9,0.5,"Fire","None","Blaze","Flash Fire","None","None",4,4,4,4,8,8,2,4,2,2,8,2,4,4,2,4,4,2
"Darkrai",70,90,90,135,90,125,50.5,1.5,"Dark","None","Bad Dreams","None","None","None",4,8,4,4,4,4,8,2,4,4,4,4,4,0,4,4,2,8
"Darmanitan",105,140,55,30,55,95,92.9,1.3,"Fire","None","Sheer Force","Zen Mode","None","None",4,4,4,4,8,8,2,4,2,2,8,2,4,4,2,4,4,2
"Dartrix",78,75,75,70,70,52,16,0.7,"Grass","Flying","Long Reach","Overgrow","None","None",4,2,8,8,0,8,4,4,4,8,2,1,4,4,16,4,4,4
"Darumaka",70,90,45,15,45,50,37.5,0.6,"Fire","None","Hustle","Inner Focus","None","None",4,4,4,4,8,8,2,4,2,2,8,2,4,4,2,4,4,2
"Decidueye",78,107,75,100,100,70,36.6,1.6,"Grass","Ghost","Long Reach","Overgrow","None","None",0,0,8,4,2,4,4,8,4,8,2,2,2,4,8,4,8,4
"Dedenne",67,58,57,81,67,101,2.2,0.2,"Electric","Fairy","Cheek Pouch","Pickup","Plus","None",4,2,2,8,8,4,2,4,4,4,4,4,2,4,4,0,2,4
"Deerling",60,60,50,40,50,75,19.5,0.6,"Normal","Grass","Chlorophyll","Sap Sipper","Serene Grace","None",4,8,8,8,2,4,8,0,4,8,2,2,2,4,8,4,4,4
"Deino",52,65,50,45,50,38,17.3,0.8,"Dark","Dragon","Hustle","None","None","None",4,8,4,4,4,4,8,2,4,2,2,2,2,0,8,8,2,16
"Delcatty",70,65,65,55,55,90,32.6,1.1,"Normal","None","Cute Charm","Normalize","Wonder Skin","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Delibird",45,55,45,65,45,75,16,0.9,"Ice","Flying","Hustle","Insomnia","Vital Spirit","None",4,4,4,4,0,16,2,4,8,8,4,2,8,4,4,4,4,4
"Delphox",75,69,72,114,100,104,39,1.5,"Fire","Psychic","Blaze","Magician","None","None",4,2,4,4,8,8,4,8,2,2,8,2,4,2,2,4,8,2
"Deoxys",50,150,50,150,50,150,60.8,1.7,"Psychic","None","Pressure","None","None","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Deoxys-Attack",50,180,20,180,20,150,60.8,1.7,"Psychic","None","Pressure","None","None","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Deoxys-Defense",50,70,160,70,160,90,60.8,1.7,"Psychic","None","Pressure","None","None","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Deoxys-Speed",50,95,90,95,90,180,60.8,1.7,"Psychic","None","Pressure","None","None","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Dewgong",90,70,80,70,95,70,120,1.7,"Water","Ice","Hydration","Ice Body","Thick Fat","None",4,8,4,4,4,8,4,4,4,4,2,8,8,4,1,4,4,4
"Dewott",75,75,60,83,60,60,24.5,0.8,"Water","None","Shell Armor","Torrent","None","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Dewpider",38,40,52,40,72,27,4,0.3,"Water","Bug","Water Absorb","Water Bubble","None","None",4,2,8,4,2,8,4,4,2,4,2,4,8,4,2,4,4,4
"Dhelmise",70,131,100,86,90,40,210,3.9,"Ghost","Grass","Steelworker","None","None","None",0,0,8,4,2,4,4,8,4,8,2,2,2,4,8,4,8,4
"Dialga",100,120,120,150,100,90,683,5.4,"Steel","Dragon","Pressure","Telepathy","None","None",2,8,2,0,8,2,2,4,2,4,2,1,2,2,4,4,4,4
"Diancie",50,100,150,100,150,50,8.8,0.7,"Rock","Fairy","Clear Body","None","None","None",2,4,2,4,8,4,2,4,16,2,8,8,4,4,4,0,2,4
"Diggersby",85,56,77,50,77,78,0,0,"Normal","Ground","Cheek Pouch","Huge Power","Pickup","None",4,8,4,2,4,2,4,0,4,4,8,8,0,4,8,4,4,4
"Diglett",10,55,25,35,45,95,0.8,0.2,"Ground","None","Arena Trap","Sand Force","Sand Veil","None",4,4,4,2,4,2,4,4,4,4,8,8,0,4,8,4,4,4
"Diglett-Alola",10,55,30,35,45,90,1,0.2,"Ground","Steel","Sand Force","Sand Veil","Tangling Hair","None",2,8,2,0,8,1,2,4,2,8,8,4,0,2,4,2,4,2
"Ditto",48,48,48,48,48,48,4,0.3,"Normal","None","Imposter","Limber","None","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Dodrio",60,110,70,60,60,110,85.2,1.8,"Normal","Flying","Early Bird","Run Away","Tangled Feet","None",4,4,4,4,0,8,2,0,4,4,4,2,8,4,8,4,4,4
"Doduo",35,85,45,35,35,75,39.2,1.4,"Normal","Flying","Early Bird","Run Away","Tangled Feet","None",4,4,4,4,0,8,2,0,4,4,4,2,8,4,8,4,4,4
"Donphan",90,120,120,60,60,50,120,1.1,"Ground","None","Sand Veil","Sturdy","None","None",4,4,4,2,4,2,4,4,4,4,8,8,0,4,8,4,4,4
"Doublade",59,110,150,45,49,35,4.5,0.8,"Steel","Ghost","No Guard","None","None","None",0,0,2,0,8,2,1,8,2,8,4,2,4,2,2,2,8,2
"Dragalge",65,75,90,97,123,44,81.5,1.8,"Poison","Dragon","Adaptability","Poison Point","Poison Touch","None",4,2,4,2,8,4,2,4,4,2,2,1,2,8,8,8,4,4
"Dragonair",61,84,65,70,70,70,16.5,4,"Dragon","None","Marvel Scale","Shed Skin","None","None",4,4,4,4,4,4,4,4,4,2,2,2,2,4,8,8,4,8
"Dragonite",91,134,95,100,100,80,210,2.2,"Dragon","Flying","Inner Focus","Multiscale","None","None",4,2,4,4,0,8,2,4,4,2,2,1,4,4,16,8,4,8
"Drampa",78,60,85,135,91,36,185,3,"Normal","Dragon","Berserk","Cloud Nine","Sap Sipper","None",4,8,4,4,4,4,4,0,4,2,2,2,2,4,8,8,4,8
"Drapion",70,90,110,60,75,95,61.5,1.3,"Poison","Dark","Battle Armor","Keen Eye","Sniper","None",4,4,4,2,8,4,4,2,4,4,4,2,4,0,4,4,2,4
"Dratini",41,64,45,50,50,50,3.3,1.8,"Dragon","None","Marvel Scale","Shed Skin","None","None",4,4,4,4,4,4,4,4,4,2,2,2,2,4,8,8,4,8
"Drifblim",150,80,44,90,54,80,15,1.2,"Ghost","Flying","Aftermath","Flare Boost","Unburden","None",0,0,4,2,0,8,1,8,4,4,4,2,8,4,8,4,8,4
"Drifloon",90,50,34,60,44,70,1.2,0.4,"Ghost","Flying","Aftermath","Flare Boost","Unburden","None",0,0,4,2,0,8,1,8,4,4,4,2,8,4,8,4,8,4
"Drilbur",60,85,40,30,45,68,8.5,0.3,"Ground","None","Mold Breaker","Sand Force","Sand Rush","None",4,4,4,2,4,2,4,4,4,4,8,8,0,4,8,4,4,4
"Drowzee",60,48,45,43,90,42,32.4,1,"Psychic","None","Forewarn","Inner Focus","Insomnia","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Druddigon",77,120,90,60,90,48,139,1.6,"Dragon","None","Mold Breaker","Rough Skin","Sheer Force","None",4,4,4,4,4,4,4,4,4,2,2,2,2,4,8,8,4,8
"Ducklett",62,44,50,44,50,55,5.5,0.5,"Water","Flying","Big Pecks","Hydration","Keen Eye","None",4,2,4,4,0,8,2,4,2,2,2,4,16,4,4,4,4,4
"Dugtrio",35,100,50,50,70,120,33.3,0.7,"Ground","None","Arena Trap","Sand Force","Sand Veil","None",4,4,4,2,4,2,4,4,4,4,8,8,0,4,8,4,4,4
"Dugtrio-Alola",35,100,60,50,70,110,66.6,0.7,"Ground","Steel","Sand Force","Sand Veil","Tangling Hair","None",2,8,2,0,8,1,2,4,2,8,8,4,0,2,4,2,4,2
"Dunsparce",100,70,70,65,65,45,14,1.5,"Normal","None","Rattled","Run Away","Serene Grace","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Duosion",65,40,50,125,60,30,8,0.6,"Psychic","None","Magic Guard","Overcoat","Regenerator","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Durant",58,109,112,48,48,109,33,0.3,"Bug","Steel","Hustle","Swarm","Truant","None",2,4,4,0,4,4,2,4,2,16,4,1,4,2,2,2,4,2
"Dusclops",40,70,130,60,130,25,30.6,1.6,"Ghost","None","Frisk","Pressure","None","None",0,0,4,2,4,4,2,8,4,4,4,4,4,4,4,4,8,4
"Dusknoir",45,100,135,65,135,45,106.6,2.2,"Ghost","None","Frisk","Pressure","None","None",0,0,4,2,4,4,2,8,4,4,4,4,4,4,4,4,8,4
"Duskull",20,40,90,30,90,25,15,0.8,"Ghost","None","Frisk","Levitate","None","None",0,0,4,2,4,4,2,8,4,4,4,4,4,4,4,4,8,4
"Dustox",60,50,70,50,90,65,31.6,1.2,"Bug","Poison","Compound Eyes","Shield Dust","None","None",4,1,8,2,4,8,2,4,4,8,4,1,4,8,4,4,4,2
"Dwebble",50,65,85,35,35,55,14.5,0.3,"Bug","Rock","Shell Armor","Sturdy","Weak Armor","None",2,4,4,2,4,8,4,4,8,4,8,4,4,4,4,4,4,4
"Eelektrik",65,85,70,75,70,40,22,1.2,"Electric","None","Levitate","None","None","None",4,4,2,4,8,4,4,4,2,4,4,4,2,4,4,4,4,4
"Eelektross",85,115,80,105,80,50,80.5,2.1,"Electric","None","Levitate","None","None","None",4,4,2,4,8,4,4,4,2,4,4,4,2,4,4,4,4,4
"Eevee",55,55,50,45,65,55,6.5,0.3,"Normal","None","Adaptability","Anticipation","Run Away","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Ekans",35,60,44,40,54,55,6.9,2,"Poison","None","Intimidate","Shed Skin","Unnerve","None",4,2,4,2,8,4,2,4,4,4,4,2,4,8,4,4,4,2
"Electabuzz",65,83,57,95,85,105,30,1.1,"Electric","None","Static","Vital Spirit","None","None",4,4,2,4,8,4,4,4,2,4,4,4,2,4,4,4,4,4
"Electivire",75,123,67,95,85,95,138.6,1.8,"Electric","None","Motor Drive","Vital Spirit","None","None",4,4,2,4,8,4,4,4,2,4,4,4,2,4,4,4,4,4
"Electrike",40,45,40,65,40,65,15.2,0.6,"Electric","None","Lightning Rod","Minus","Static","None",4,4,2,4,8,4,4,4,2,4,4,4,2,4,4,4,4,4
"Electrode",60,50,70,80,80,150,66.6,1.2,"Electric","None","Aftermath","Soundproof","Static","None",4,4,2,4,8,4,4,4,2,4,4,4,2,4,4,4,4,4
"Elekid",45,63,37,65,55,95,23.5,0.6,"Electric","None","Static","Vital Spirit","None","None",4,4,2,4,8,4,4,4,2,4,4,4,2,4,4,4,4,4
"Elgyem",55,55,55,85,55,30,9,0.5,"Psychic","None","Analytic","Synchronize","Telepathy","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Emboar",110,123,65,100,65,65,150,1.6,"Fire","Fighting","Blaze","Reckless","None","None",4,4,8,4,8,4,1,4,2,2,8,2,4,8,2,4,2,4
"Emolga",55,75,60,75,60,103,5,0.4,"Electric","Flying","Motor Drive","Static","None","None",4,2,2,4,0,8,2,4,2,4,4,2,4,4,8,4,4,4
"Empoleon",84,86,88,111,101,60,84.5,1.7,"Water","Steel","Defiant","Torrent","None","None",2,8,2,0,8,2,2,4,1,4,2,4,8,2,1,2,4,2
"Entei",115,115,85,90,75,100,198,2.1,"Fire","None","Inner Focus","Pressure","None","None",4,4,4,4,8,8,2,4,2,2,8,2,4,4,2,4,4,2
"Escavalier",70,135,105,60,105,20,33,1,"Bug","Steel","Overcoat","Shell Armor","Swarm","None",2,4,4,0,4,4,2,4,2,16,4,1,4,2,2,2,4,2
"Espeon",65,65,60,130,95,110,26.5,0.9,"Psychic","None","Magic Bounce","Synchronize","None","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Espurr",62,48,54,63,60,68,3.5,0.3,"Psychic","None","Infiltrator","Keen Eye","Own Tempo","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Excadrill",110,135,60,50,65,88,40.4,0.7,"Ground","Steel","Mold Breaker","Sand Force","Sand Rush","None",2,8,2,0,8,1,2,4,2,8,8,4,0,2,4,2,4,2
"Exeggcute",60,40,80,60,45,40,2.5,0.4,"Grass","Psychic","Chlorophyll","Harvest","None","None",4,2,8,8,2,4,16,8,4,8,2,2,2,2,8,4,8,4
"Exeggutor",95,95,85,125,75,55,120,2,"Grass","Psychic","Chlorophyll","Harvest","None","None",4,2,8,8,2,4,16,8,4,8,2,2,2,2,8,4,8,4
"Exeggutor-Alola",95,105,85,125,75,45,415.6,10.9,"Grass","Dragon","Frisk","Harvest","None","None",4,4,8,8,2,4,8,4,4,4,1,1,1,4,16,8,4,8
"Exploud",104,91,63,91,73,68,84,1.5,"Normal","None","Scrappy","Soundproof","None","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Farfetch'd",52,90,55,58,62,60,15,0.8,"Normal","Flying","Defiant","Inner Focus","Keen Eye","None",4,4,4,4,0,8,2,0,4,4,4,2,8,4,8,4,4,4
"Fearow",65,90,65,61,61,100,38,1.2,"Normal","Flying","Keen Eye","Sniper","None","None",4,4,4,4,0,8,2,0,4,4,4,2,8,4,8,4,4,4
"Feebas",20,15,20,10,55,80,7.4,0.6,"Water","None","Adaptability","Oblivious","Swift Swim","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Fennekin",40,45,40,62,60,60,9.4,0.4,"Fire","None","Blaze","Magician","None","None",4,4,4,4,8,8,2,4,2,2,8,2,4,4,2,4,4,2
"Feraligatr",85,105,100,79,83,78,88.8,2.3,"Water","None","Sheer Force","Torrent","None","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Ferroseed",44,50,91,24,86,10,18.8,0.6,"Grass","Steel","Iron Barbs","None","None","None",2,8,4,0,4,2,4,4,2,16,2,1,2,2,4,2,4,2
"Ferrothorn",74,94,131,54,116,20,110,1,"Grass","Steel","Anticipation","Iron Barbs","None","None",2,8,4,0,4,2,4,4,2,16,2,1,2,2,4,2,4,2
"Finneon",49,49,56,49,61,66,7,0.4,"Water","None","Storm Drain","Swift Swim","Water Veil","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Flaaffy",70,55,55,80,60,45,13.3,0.8,"Electric","None","Plus","Static","None","None",4,4,2,4,8,4,4,4,2,4,4,4,2,4,4,4,4,4
"Flabebe",44,38,39,61,79,42,0.1,0.1,"Fairy","None","Flower Veil","Symbiosis","None","None",4,2,4,8,4,4,2,4,8,4,4,4,4,4,4,0,2,4
"Flareon",65,130,60,95,110,65,25,0.9,"Fire","None","Flash Fire","Guts","None","None",4,4,4,4,8,8,2,4,2,2,8,2,4,4,2,4,4,2
"Fletchinder",62,73,55,56,52,84,0,0,"Fire","Flying","Flame Body","Gale Wings","None","None",4,2,4,4,0,16,1,4,2,2,8,1,8,4,4,4,4,2
"Fletchling",45,50,43,40,38,62,1.7,0.3,"Normal","Flying","Big Pecks","Gale Wings","None","None",4,4,4,4,0,8,2,0,4,4,4,2,8,4,8,4,4,4
"Floatzel",85,105,55,85,50,115,33.5,1.1,"Water","None","Swift Swim","Water Veil","None","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Floette",54,45,47,75,98,52,0.9,0.2,"Fairy","None","Flower Veil","Symbiosis","None","None",4,2,4,8,4,4,2,4,8,4,4,4,4,4,4,0,2,4
"Floette-Eternal",74,65,67,125,128,92,0.9,0.2,"Fairy","None","Flower Veil","Symbiosis","None","None",4,2,4,8,4,4,2,4,8,4,4,4,4,4,4,0,2,4
"Florges",78,65,68,112,154,75,10,1.1,"Fairy","None","Flower Veil","Symbiosis","None","None",4,2,4,8,4,4,2,4,8,4,4,4,4,4,4,0,2,4
"Flygon",80,100,80,80,80,100,82,2,"Ground","Dragon","Levitate","None","None","None",4,4,4,2,4,2,4,4,4,2,4,4,0,4,16,8,4,8
"Fomantis",40,55,35,50,35,35,1.5,0.3,"Grass","None","Contrary","Leaf Guard","None","None",4,4,8,8,2,4,8,4,4,8,2,2,2,4,8,4,4,4
"Foongus",69,55,45,55,55,15,1,0.2,"Grass","Poison","Effect Spore","Regenerator","None","None",4,2,8,4,4,4,4,4,4,8,2,1,2,8,8,4,4,2
"Forretress",75,90,140,60,60,40,125.8,1.2,"Bug","Steel","Overcoat","Sturdy","None","None",2,4,4,0,4,4,2,4,2,16,4,1,4,2,2,2,4,2
"Fraxure",66,117,70,40,50,67,36,1,"Dragon","None","Mold Breaker","Rivalry","Unnerve","None",4,4,4,4,4,4,4,4,4,2,2,2,2,4,8,8,4,8
"Frillish",55,40,50,65,85,40,33,1.2,"Water","Ghost","Cursed Body","Damp","Water Absorb","None",0,0,4,2,4,4,2,8,2,2,2,8,8,4,2,4,8,4
"Froakie",41,56,41,62,44,71,7,0.3,"Water","None","Protean","Torrent","None","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Frogadier",54,63,52,83,56,97,10.9,0.6,"Water","None","Protean","Torrent","None","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Froslass",70,80,70,80,70,110,26.6,1.3,"Ice","Ghost","Cursed Body","Snow Cloak","None","None",0,0,4,2,4,8,2,8,8,8,4,4,4,4,2,4,8,4
"Furfrou",75,80,60,65,90,102,28,1.2,"Normal","None","Fur Coat","None","None","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Furret",85,76,64,45,55,90,32.5,1.8,"Normal","None","Frisk","Keen Eye","Run Away","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Gabite",68,90,65,50,55,82,56,1.4,"Dragon","Ground","Rough Skin","Sand Veil","None","None",4,4,4,2,4,2,4,4,4,2,4,4,0,4,16,8,4,8
"Gallade",68,125,65,65,115,80,52,1.6,"Psychic","Fighting","Justified","Steadfast","None","None",4,2,8,4,4,2,4,8,4,4,4,4,4,4,4,4,4,8
"Galvantula",70,77,60,97,60,108,14.3,0.8,"Bug","Electric","Compound Eyes","Swarm","Unnerve","None",4,2,4,4,4,8,4,4,2,8,4,2,2,4,4,4,4,4
"Garbodor",80,95,82,60,82,75,107.3,1.9,"Poison","None","Aftermath","Stench","Weak Armor","None",4,2,4,2,8,4,2,4,4,4,4,2,4,8,4,4,4,2
"Garchomp",108,130,95,80,85,102,95,1.9,"Dragon","Ground","Rough Skin","Sand Veil","None","None",4,4,4,2,4,2,4,4,4,2,4,4,0,4,16,8,4,8
"Gardevoir",68,65,65,125,115,80,48.4,1.6,"Psychic","Fairy","Synchronize","Telepathy","Trace","None",4,1,4,8,4,4,4,8,8,4,4,4,4,2,4,0,4,4
"Gastly",30,35,30,100,35,80,0.1,1.3,"Ghost","Poison","Levitate","None","None","None",0,0,4,1,8,4,1,8,4,4,4,2,4,8,4,4,8,2
"Gastrodon",111,83,68,92,82,39,29.9,0.9,"Water","Ground","Sand Force","Sticky Hold","Storm Drain","None",4,4,4,2,4,2,4,4,2,2,4,16,0,4,4,4,4,4
"Genesect",71,120,95,120,95,99,82.5,1.5,"Bug","Steel","Download","None","None","None",2,4,4,0,4,4,2,4,2,16,4,1,4,2,2,2,4,2
"Gengar",60,65,60,130,75,110,40.5,1.5,"Ghost","Poison","Cursed Body","None","None","None",0,0,4,1,8,4,1,8,4,4,4,2,4,8,4,4,8,2
"Geodude",40,80,100,30,30,20,20,0.4,"Rock","Ground","Rock Head","Sand Veil","Sturdy","None",2,8,2,1,8,2,4,4,8,2,16,16,0,4,8,4,4,4
"Geodude-Alola",40,80,100,30,30,20,20.3,0.4,"Rock","Electric","Galvanize","Magnet Pull","Sturdy","None",2,8,1,2,16,4,4,4,4,2,8,8,2,4,4,4,4,4
"Gible",58,70,45,40,45,42,20.5,0.7,"Dragon","Ground","Rough Skin","Sand Veil","None","None",4,4,4,2,4,2,4,4,4,2,4,4,0,4,16,8,4,8
"Gigalith",85,135,130,60,80,25,260,1.7,"Rock","None","Sand Force","Sand Stream","Sturdy","None",2,8,2,2,8,4,4,4,8,2,8,8,4,4,4,4,4,4
"Girafarig",70,80,65,90,65,85,41.5,1.5,"Normal","Psychic","Early Bird","Inner Focus","Sap Sipper","None",4,4,4,4,4,4,8,0,4,4,4,4,4,2,4,4,8,4
"Giratina",150,100,120,100,120,90,750,4.5,"Ghost","Dragon","Pressure","Telepathy","None","None",0,0,4,2,4,4,2,8,4,2,2,2,2,4,8,8,8,8
"Giratina-Origin",150,120,100,120,100,90,650,6.9,"Ghost","Dragon","Levitate","None","None","None",0,0,4,2,4,4,2,8,4,2,2,2,2,4,8,8,8,8
"Glaceon",65,60,110,130,95,65,25.9,0.8,"Ice","None","Ice Body","Snow Cloak","None","None",4,8,4,4,4,8,4,4,8,8,4,4,4,4,2,4,4,4
"Glalie",80,80,80,80,80,80,256.5,1.5,"Ice","None","Ice Body","Inner Focus","Moody","None",4,8,4,4,4,8,4,4,8,8,4,4,4,4,2,4,4,4
"Glameow",49,55,42,42,37,85,3.9,0.5,"Normal","None","Keen Eye","Limber","Own Tempo","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Gligar",65,75,105,35,65,85,64.8,1.1,"Ground","Flying","Hyper Cutter","Immunity","Sand Veil","None",4,2,4,2,0,4,2,4,4,4,8,4,0,4,16,4,4,4
"Gliscor",75,95,125,45,75,95,42.5,2,"Ground","Flying","Hyper Cutter","Poison Heal","Sand Veil","None",4,2,4,2,0,4,2,4,4,4,8,4,0,4,16,4,4,4
"Gloom",60,65,70,85,75,40,8.6,0.8,"Grass","Poison","Chlorophyll","Stench","None","None",4,2,8,4,4,4,4,4,4,8,2,1,2,8,8,4,4,2
"Gogoat",123,100,62,97,81,68,91,1.7,"Grass","None","Grass Pelt","Sap Sipper","None","None",4,4,8,8,2,4,8,4,4,8,2,2,2,4,8,4,4,4
"Golbat",75,80,70,65,75,90,55,1.6,"Poison","Flying","Infiltrator","Inner Focus","None","None",4,1,4,2,0,8,1,4,4,4,4,1,8,8,8,4,4,2
"Goldeen",45,67,60,35,50,63,15,0.6,"Water","None","Lightning Rod","Swift Swim","Water Veil","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Golduck",80,82,78,95,80,85,76.6,1.7,"Water","None","Cloud Nine","Damp","Swift Swim","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Golem",80,120,130,55,65,45,300,1.4,"Rock","Ground","Rock Head","Sand Veil","Sturdy","None",2,8,2,1,8,2,4,4,8,2,16,16,0,4,8,4,4,4
"Golem-Alola",80,120,130,55,65,45,316,1.7,"Rock","Electric","Galvanize","Magnet Pull","Sturdy","None",2,8,1,2,16,4,4,4,4,2,8,8,2,4,4,4,4,4
"Golett",59,74,50,35,50,35,92,1,"Ground","Ghost","Iron Fist","Klutz","No Guard","None",0,0,4,1,4,2,2,8,4,4,8,8,0,4,8,4,8,4
"Golisopod",75,125,140,60,90,40,108,2,"Bug","Water","Emergency Exit","None","None","None",4,2,8,4,2,8,4,4,2,4,2,4,8,4,2,4,4,4
"Golurk",89,124,80,55,80,55,330,2.8,"Ground","Ghost","Iron Fist","Klutz","No Guard","None",0,0,4,1,4,2,2,8,4,4,8,8,0,4,8,4,8,4
"Goodra",90,100,70,110,150,80,150.5,2,"Dragon","None","Gooey","Hydration","Sap Sipper","None",4,4,4,4,4,4,4,4,4,2,2,2,2,4,8,8,4,8
"Goomy",45,50,35,55,75,40,2.8,0.3,"Dragon","None","Gooey","Hydration","Sap Sipper","None",4,4,4,4,4,4,4,4,4,2,2,2,2,4,8,8,4,8
"Gorebyss",55,84,105,114,75,52,22.6,1.8,"Water","None","Hydration","Swift Swim","None","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Gothita",45,30,50,55,65,45,5.8,0.4,"Psychic","None","Competitive","Frisk","Shadow Tag","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Gothitelle",70,55,95,95,110,65,44,1.5,"Psychic","None","Competitive","Frisk","Shadow Tag","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Gothorita",60,45,70,75,85,55,18,0.7,"Psychic","None","Competitive","Frisk","Shadow Tag","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Gourgeist",65,90,122,58,75,84,0,0,"Ghost","Grass","Frisk","Insomnia","Pickup","None",0,0,8,4,2,4,4,8,4,8,2,2,2,4,8,4,8,4
"Gourgeist-Large",75,95,122,58,75,69,0,0,"Ghost","Grass","Frisk","Insomnia","Pickup","None",0,0,8,4,2,4,4,8,4,8,2,2,2,4,8,4,8,4
"Gourgeist-Small",55,85,122,58,75,99,0,0,"Ghost","Grass","Frisk","Insomnia","Pickup","None",0,0,8,4,2,4,4,8,4,8,2,2,2,4,8,4,8,4
"Gourgeist-Super",85,100,122,58,75,54,0,0,"Ghost","Grass","Frisk","Insomnia","Pickup","None",0,0,8,4,2,4,4,8,4,8,2,2,2,4,8,4,8,4
"Granbull",90,120,75,60,60,45,48.7,1.4,"Fairy","None","Intimidate","Quick Feet","Rattled","None",4,2,4,8,4,4,2,4,8,4,4,4,4,4,4,0,2,4
"Graveler",55,95,115,45,45,35,105,1,"Rock","Ground","Rock Head","Sand Veil","Sturdy","None",2,8,2,1,8,2,4,4,8,2,16,16,0,4,8,4,4,4
"Graveler-Alola",55,95,115,45,45,35,110,1,"Rock","Electric","Galvanize","Magnet Pull","Sturdy","None",2,8,1,2,16,4,4,4,4,2,8,8,2,4,4,4,4,4
"Greninja",72,95,67,103,71,122,40,1.5,"Water","Dark","Battle Bond","Protean","Torrent","None",4,8,4,4,4,4,8,2,2,2,2,8,8,0,2,4,2,8
"Grimer",80,80,50,40,50,25,30,0.9,"Poison","None","Poison Touch","Stench","Sticky Hold","None",4,2,4,2,8,4,2,4,4,4,4,2,4,8,4,4,4,2
"Grimer-Alola",80,80,50,40,50,25,42,0.7,"Poison","Dark","Gluttony","Poison Touch","Power of Alchemy","None",4,4,4,2,8,4,4,2,4,4,4,2,4,0,4,4,2,4
"Grotle",75,89,85,55,65,36,97,1.1,"Grass","None","Overgrow","Shell Armor","None","None",4,4,8,8,2,4,8,4,4,8,2,2,2,4,8,4,4,4
"Groudon",100,150,140,100,90,90,950,3.5,"Ground","None","Drought","None","None","None",4,4,4,2,4,2,4,4,4,4,8,8,0,4,8,4,4,4
"Grovyle",50,65,45,85,65,95,21.6,0.9,"Grass","None","Overgrow","Unburden","None","None",4,4,8,8,2,4,8,4,4,8,2,2,2,4,8,4,4,4
"Growlithe",55,70,45,70,50,60,19,0.7,"Fire","None","Flash Fire","Intimidate","Justified","None",4,4,4,4,8,8,2,4,2,2,8,2,4,4,2,4,4,2
"Grubbin",47,62,45,55,45,46,4.4,0.4,"Bug","None","Swarm","None","None","None",4,2,8,4,2,8,4,4,4,8,4,2,4,4,4,4,4,4
